#GENE1;GENE2;ww;ws;wb;sw;ss;sb;bw;bs;bb;chi2;x*;epistatic-pvalue;sa-pvalue
NOTCH2;CHRM2;337;14;4;7;11;0;45;3;1;41.602;0.594;6.21898989890547E-10;0.787003595351224
NDST3;SERPINA12;366;2;29;10;7;0;7;1;0;41.872;0.505;6.21898989890547E-10;0.791474632234968
SASS6;MTMR12;141;0;16;3;6;0;231;5;20;41.783;22.147;6.21898989890547E-10;0.802786562719126
SEMA3E;P3H2;277;2;13;5;7;0;106;2;10;42.029;6.571;6.21898989890547E-10;0.828075613455391
PIK3C2A;CLOCK;279;2;42;3;6;2;77;0;11;42.05;11.403;6.21898989890547E-10;0.83068251378672
ADGRL3;UNC45A;297;0;39;29;9;4;39;2;3;42.061;4.667;6.21898989890547E-10;0.83555805031405
ADCY7;GRM5;356;20;12;7;12;0;14;1;0;42.075;0.44;6.21898989890547E-10;0.839656988543384
ADCY5;CACNA1D;354;18;16;12;13;0;9;0;0;42.255;0.38;6.21898989890547E-10;0.853322797813991
ACACA;OTUD4;334;11;34;16;13;4;8;1;1;41.474;0.836;6.21898989890547E-10;0.858724275712725
ATP8A2;ZNF226;319;1;23;16;8;2;46;0;7;41.564;4.025;6.21898989890547E-10;0.860358819014253
CCDC73;ARMC2;332;1;45;9;7;1;26;0;1;42.414;3.074;6.21898989890547E-10;0.887971927830092
ZNF521;CNOT10;359;0;23;17;7;1;13;0;2;41.64;0.945;6.21898989890547E-10;0.910084971131532
PTK2;ZNF491;367;1;24;15;8;2;5;0;0;42.518;0.303;6.21898989890547E-10;0.914687131683194
CAGE1;PANK1;279;3;14;0;5;1;101;1;18;41.655;9.243;6.21898989890547E-10;0.936994751345267
APPL1;ITPR2;254;12;67;0;7;2;69;2;9;41.988;14.857;6.21898989890547E-10;0.959581077210156
SLC4A5;JAK1;309;7;5;6;9;0;77;2;7;42.561;2.533;6.21898989890547E-10;0.963065439611663
ZNF678;SEMA3E;266;5;110;2;7;4;24;0;4;41.631;7.901;6.21898989890547E-10;0.965820817088629
VIT;MTHFD1L;322;4;18;4;7;2;57;4;4;42.278;3.347;6.21898989890547E-10;0.971311054186086
ZNF814;GREB1L;350;17;11;6;10;2;25;0;1;42.305;0.806;6.21898989890547E-10;0.975213947845088
CSPP1;DOCK2;295;25;18;2;10;0;57;3;12;41.694;5.419;6.21898989890547E-10;0.978503343624538
PPIP5K2;UGT1A9;324;3;5;3;6;0;73;0;8;41.59;2.568;6.21898989890547E-10;0.998038372429508
ARMC2;DGKI;343;14;10;0;6;2;42;3;2;42.024;1.33;6.21898989890547E-10;1
C2CD5;FDPS;372;0;23;9;4;4;7;2;1;41.589;0.476;6.21898989890547E-10;1
CDC42BPB;G2E3;376;1;12;16;8;1;7;0;1;42.079;0.263;6.21898989890547E-10;1
CEP290;KAT6A;223;7;64;9;10;1;83;2;23;42.146;23.466;6.21898989890547E-10;1
CEP290;P3H2;281;1;12;11;8;1;96;2;10;41.898;5.845;6.21898989890547E-10;1
CHD2;NUF2;251;2;106;8;8;5;30;0;12;42.404;12.421;6.21898989890547E-10;1
CHD8;GREB1L;338;13;11;20;14;1;23;0;2;41.645;0.869;6.21898989890547E-10;1
CIC;FLNA;327;23;28;15;16;1;8;3;1;42.355;0.717;6.21898989890547E-10;1
CSPP1;RAD54B;312;3;23;4;7;1;60;1;11;41.432;5.946;6.21898989890547E-10;1
CSPP1;ZNF106;199;6;133;0;6;6;21;0;51;41.527;32.792;6.21898989890547E-10;1
CTTNBP2;GREB1L;312;12;12;14;13;1;55;2;1;41.437;1.916;6.21898989890547E-10;1
DCAF13;ZNF625;100;0;35;0;4;1;191;0;91;42.616;85.209;6.21898989890547E-10;1
DHX9;SLITRK2;384;9;7;10;10;0;2;0;0;41.49;0.036;6.21898989890547E-10;1
HGSNAT;PDE10A;360;8;8;2;7;0;37;0;0;42.683;0.731;6.21898989890547E-10;1
HTR2B;GAD1;367;8;18;2;7;0;11;0;9;42.164;1.333;6.21898989890547E-10;1
IGSF1;SOGA1;284;6;74;10;10;2;32;1;3;41.952;6.858;6.21898989890547E-10;1
KEL;FER;300;9;44;2;7;3;47;0;10;41.753;7.676;6.21898989890547E-10;1
KEL;RBBP8;329;5;19;4;7;1;54;0;3;41.542;3.096;6.21898989890547E-10;1
LRRIQ4;PARG;279;7;22;1;7;0;98;3;5;42.495;6.884;6.21898989890547E-10;1
MTHFD1L;HDAC9;364;14;5;5;10;0;22;1;1;42.406;0.352;6.21898989890547E-10;1
MYCBP2;RIMS1;266;19;33;25;21;3;44;7;4;42.112;5.118;6.21898989890547E-10;1
MYCBP2;ZNF425;295;2;21;32;12;5;51;2;2;42.373;3.304;6.21898989890547E-10;1
MYH11;ITGB8;188;2;8;6;8;0;197;4;9;42.32;8.711;6.21898989890547E-10;1
PPIP5K2;CCDC88A;295;9;28;1;7;1;75;1;5;41.88;6.551;6.21898989890547E-10;1
RAD54B;PRKD1;334;18;24;2;9;0;32;1;2;42.241;2.255;6.21898989890547E-10;1
RFC1;ARMC2;337;1;44;9;7;1;21;0;2;42.393;2.619;6.21898989890547E-10;1
SEC24D;TRIP12;334;19;9;2;9;1;46;1;1;42.599;1.205;6.21898989890547E-10;1
TFEC;RAD54B;344;6;28;0;5;2;32;0;5;41.909;2.985;6.21898989890547E-10;1
ZNF677;HDAC9;348;16;5;4;9;0;39;0;1;42.151;0.611;6.21898989890547E-10;1
GTF3C3;CATSPERB;285;7;42;2;7;3;63;1;12;40.433;10.075;7.25548821538972E-10;0.010555763902302
ARHGAP20;ZBTB39;342;2;31;8;7;3;26;1;2;40.258;2.304;7.25548821538972E-10;0.0357633503788934
MTNR1B;VIT;292;5;49;4;7;0;48;1;16;40.418;10.272;7.25548821538972E-10;0.0464288169586619
EIF4G3;CFAP43;288;13;61;0;7;2;39;3;9;41.08;8.463;7.25548821538972E-10;0.0507604514121688
AMPD3;KIF20A;302;5;16;3;7;2;79;2;6;41.047;4.64;7.25548821538972E-10;0.0525501707229422
LRRIQ4;FRYL;256;22;30;0;8;0;86;7;13;40.698;11.057;7.25548821538972E-10;0.0546270689799823
CTNND1;SAMD9L;215;5;154;7;9;4;15;1;12;40.472;11.318;7.25548821538972E-10;0.0596583786934099
DYNC1H1;TRIM16;144;0;153;12;8;19;35;0;51;40.468;45.807;7.25548821538972E-10;0.0679094082674977
HOMER2;VEGFC;371;7;15;1;6;0;20;2;0;40.233;0.739;7.25548821538972E-10;0.0746977925560942
MBD5;ARHGAP35;356;21;9;7;11;2;16;0;0;41.394;0.378;7.25548821538972E-10;0.086022324208079
ST18;RIMS2;313;27;40;6;12;1;20;0;3;40.247;2.63;7.25548821538972E-10;0.0926904580008657
IL16;TMEM117;221;2;4;4;7;0;174;4;6;40.404;4.444;7.25548821538972E-10;0.102362397026401
PROS1;KIF20A;362;6;23;7;8;0;15;0;1;40.995;0.958;7.25548821538972E-10;0.106732728522528
ESR2;DGKB;359;15;25;2;8;0;13;0;0;40.956;0.819;7.25548821538972E-10;0.114160547640697
TMPO;CTNND1;292;10;13;3;8;0;79;2;15;40.43;6.596;7.25548821538972E-10;0.116636983970275
EIF4G3;GRIN2B;347;11;4;2;7;0;51;0;0;40.768;0.507;7.25548821538972E-10;0.117711477237095
TRRAP;CNOT1;321;20;12;30;18;6;13;0;2;40.315;0.603;7.25548821538972E-10;0.118969674001582
DAAM1;ABCD2;370;4;19;5;7;0;12;1;4;41.112;0.909;7.25548821538972E-10;0.119336927587924
DENND4A;MYH11;177;6;191;2;8;8;19;0;11;40.265;15.226;7.25548821538972E-10;0.135599676175347
ACSM1;BTAF1;346;11;10;4;8;0;42;0;1;41.068;1.185;7.25548821538972E-10;0.163661910418887
MYCBP2;ZEB1;298;5;15;35;13;1;50;0;5;41.197;2.989;7.25548821538972E-10;0.16386394979838
FER;KIAA0825;187;4;158;4;8;4;34;1;22;40.206;25.137;7.25548821538972E-10;0.191595408828906
VIT;NCOA6;301;12;31;4;9;0;50;3;12;40.665;6.766;7.25548821538972E-10;0.193612106509244
PTPRS;COL1A1;72;6;9;9;2;0;26;2;296;41.023;243.697;7.25548821538972E-10;0.199349798036523
ALOX5;F9;248;3;133;7;7;1;20;0;3;40.657;7.743;7.25548821538972E-10;0.202362846737039
ESCO2;ATAD2;296;11;15;0;6;2;79;3;10;40.608;5.562;7.25548821538972E-10;0.228133314643287
CCDC73;LRRC63;276;0;102;7;6;4;21;0;6;41.36;7.2;7.25548821538972E-10;0.22876441239309
CATSPERE;PROS1;320;7;14;7;8;0;64;0;2;41.149;2.64;7.25548821538972E-10;0.235467308966646
ZNF491;RFC1;355;10;22;2;7;0;25;0;1;40.35;1.484;7.25548821538972E-10;0.237482508252839
LEMD3;FLT1;367;13;19;5;9;0;9;0;0;40.452;0.433;7.25548821538972E-10;0.241465621704185
SLC10A5;RAD50;336;7;20;1;6;0;49;0;3;41.308;2.931;7.25548821538972E-10;0.244233748493849
KIF14;ARMC2;163;0;16;1;5;1;203;3;30;40.602;26.015;7.25548821538972E-10;0.246996640075306
GPR37;ALOX5;370;6;22;7;8;0;7;1;1;41.139;0.46;7.25548821538972E-10;0.283421688686137
ZC3H6;GUCY1B3;365;11;7;2;7;1;29;0;0;41.01;0.506;7.25548821538972E-10;0.284532531556641
SLC4A10;PPFIA2;374;15;9;10;11;1;1;1;0;40.859;0.023;7.25548821538972E-10;0.310590827085281
EIF4G3;ZNF491;335;3;24;3;6;0;49;0;2;41.268;3.234;7.25548821538972E-10;0.339109725036105
PRKD1;OTUD4;321;10;37;15;12;1;22;3;1;41.391;2.294;7.25548821538972E-10;0.340126277769694
EIF3A;HDAC9;350;12;3;12;9;3;29;4;0;40.249;0.228;7.25548821538972E-10;0.347797463586095
WDR75;ZC3H6;358;4;27;2;6;1;23;0;1;40.379;1.643;7.25548821538972E-10;0.35655104769277
ARHGEF4;STK39;278;4;9;3;6;0;119;0;3;41.089;3.579;7.25548821538972E-10;0.359729877133593
NAALAD2;MMRN1;209;4;52;5;7;2;107;0;36;41.226;31.149;7.25548821538972E-10;0.36140591546463
DENND4A;FLT1;344;11;19;8;10;0;29;1;0;40.841;1.406;7.25548821538972E-10;0.370949770424641
NPHP1;ZNF492;219;6;152;0;6;4;19;0;16;41.052;14.483;7.25548821538972E-10;0.396028080065605
VIT;GRM5;317;19;8;3;10;0;57;4;4;40.654;1.896;7.25548821538972E-10;0.396116578928789
KAT6A;C1orf168;274;2;39;9;8;2;72;1;15;41.099;11.745;7.25548821538972E-10;0.396293633414251
ZC3H6;ZNF546;320;6;57;2;6;2;22;4;3;40.265;3.731;7.25548821538972E-10;0.405151074280719
LYST;C1orf168;271;3;27;19;8;0;65;0;29;41.22;13.429;7.25548821538972E-10;0.406468565386999
DCAF5;GRM5;360;19;11;7;11;1;10;3;0;41.176;0.289;7.25548821538972E-10;0.407603690015607
MAP3K21;RBM44;229;1;22;7;7;0;141;3;12;41.055;12.876;7.25548821538972E-10;0.414699089624273
CNTNAP5;FER;280;3;44;25;9;0;44;4;13;40.983;8.528;7.25548821538972E-10;0.41799595628616
GALNT3;NPFFR2;364;7;19;3;7;0;18;0;4;40.872;1.249;7.25548821538972E-10;0.423686861822611
RABGAP1L;NCOA6;323;13;31;7;10;0;25;1;12;41.17;4.069;7.25548821538972E-10;0.437937861616078
DENND4A;ENC1;361;12;1;8;9;1;30;0;0;40.823;0.077;7.25548821538972E-10;0.445953911093606
ZBED5;RNF180;298;8;54;1;6;0;46;0;9;40.764;8.514;7.25548821538972E-10;0.447860544124598
ADAM17;PPP4R4;352;11;5;4;8;0;40;0;2;40.925;0.737;7.25548821538972E-10;0.465972834111811
CSPP1;PPFIA2;314;16;8;3;9;0;68;2;2;40.225;1.786;7.25548821538972E-10;0.46614409098232
MYH11;PPFIA2;188;4;6;5;9;0;192;14;4;40.693;5.026;7.25548821538972E-10;0.468695621721208
SYCP1;RFC1;320;8;21;4;8;0;58;1;2;41.27;3.441;7.25548821538972E-10;0.470087913934067
GREB1L;ZNF546;320;6;55;12;10;5;12;0;2;41.079;2.051;7.25548821538972E-10;0.476158980926262
CPD;UBE3C;366;8;13;5;8;1;21;0;0;40.811;0.683;7.25548821538972E-10;0.490258260267976
VPS13D;MYO5C;116;3;84;11;9;3;109;2;85;41.311;83.213;7.25548821538972E-10;0.5076005924405
UBR5;BUB1;375;8;6;17;10;0;4;2;0;40.317;0.062;7.25548821538972E-10;0.512495043361754
MMRN1;BTAF1;306;8;7;3;8;0;83;3;4;41.052;2.392;7.25548821538972E-10;0.528494846274616
MSH2;UGT1A9;366;2;12;9;7;0;25;0;1;40.741;0.837;7.25548821538972E-10;0.57228263382084
CATSPERB;ZC3H6;322;2;26;8;7;0;53;1;3;40.345;4.02;7.25548821538972E-10;0.581003896897566
ATP9B;VIT;281;4;48;10;8;0;53;1;17;41.017;11.404;7.25548821538972E-10;0.581349296986845
ZNF625;GRID2;222;4;65;0;4;0;84;13;30;40.835;27.007;7.25548821538972E-10;0.605845910598423
DBF4;ENTHD1;321;0;33;5;4;0;51;5;3;41.375;4.765;7.25548821538972E-10;0.611238888322519
ARHGAP19;MN1;360;15;9;0;6;0;32;0;0;40.273;0.718;7.25548821538972E-10;0.621720450245426
UGT3A1;CSPP1;250;1;60;8;6;0;80;5;12;40.233;16.478;7.25548821538972E-10;0.625457302869598
MMAA;XPO6;350;10;8;1;7;0;45;1;0;41.329;0.893;7.25548821538972E-10;0.652854078795938
TRPC4;RFC1;324;5;22;19;11;1;39;1;0;40.407;2.229;7.25548821538972E-10;0.659648472750558
TUBA3C;GPBP1;322;8;11;9;8;3;60;0;1;40.799;1.858;7.25548821538972E-10;0.679358616682279
SLC25A12;ADAM9;344;3;23;7;7;0;38;0;0;41.148;2.158;7.25548821538972E-10;0.719741768740477
TECRL;TTLL7;355;7;10;8;9;0;30;1;2;41.033;0.967;7.25548821538972E-10;0.735761080950552
ZRANB3;RBBP8;239;3;10;4;7;0;144;2;13;41.115;8.894;7.25548821538972E-10;0.741210592676022
DDX4;ZNF546;253;6;49;0;6;1;91;4;12;40.85;15.514;7.25548821538972E-10;0.744418412620975
ZC3H6;ZFP90;359;2;22;4;6;0;28;0;1;41.287;1.627;7.25548821538972E-10;0.757913425227192
LNPEP;SYCP1;222;4;30;0;5;4;127;3;27;41.308;21.621;7.25548821538972E-10;0.771055993947892
PPIP5K2;EML6;298;15;19;1;8;0;71;3;7;41.253;5.134;7.25548821538972E-10;0.783251243381883
SEMA3E;GRM5;272;12;8;3;9;0;102;12;4;40.544;3.295;7.25548821538972E-10;0.784225427282868
STAG1;TXLNG;347;1;18;14;7;0;28;0;7;40.535;2.188;7.25548821538972E-10;0.788675195222232
PNISR;ZNF782;263;2;133;7;5;0;7;2;3;40.441;3.35;7.25548821538972E-10;0.79361987361278
RC3H1;ANKRD50;346;8;17;8;9;0;31;3;0;40.69;1.338;7.25548821538972E-10;0.810725160775141
ANKRD28;ALOX5;339;7;20;6;8;1;39;0;2;40.302;2.255;7.25548821538972E-10;0.826930416104988
ARHGAP11A;PARPBP;329;1;21;5;6;2;53;1;4;40.846;3.501;7.25548821538972E-10;0.833499872551783
CCDC39;GRIA2;317;10;0;11;11;0;64;8;1;40.921;0.17;7.25548821538972E-10;0.844429169265599
CCDC73;ZNF677;333;5;40;9;8;0;27;0;0;41.255;2.7;7.25548821538972E-10;0.850019644053232
CPD;USP7;373;13;1;5;9;0;21;0;0;40.794;0.053;7.25548821538972E-10;0.850338563031706
CIT;TIE1;311;9;12;10;10;0;64;1;5;40.978;2.992;7.25548821538972E-10;0.86098189300894
MTHFD1L;P2RY10;351;4;28;8;7;0;20;3;1;40.824;1.523;7.25548821538972E-10;0.861551986042141
PLCB2;PCOLCE2;265;4;105;7;8;2;23;2;6;40.44;8.068;7.25548821538972E-10;0.869908154738476
MSH6;NLRC4;312;6;20;6;8;0;69;1;0;40.306;3.441;7.25548821538972E-10;0.882099801700557
SLC25A12;NUF2;258;3;109;4;7;3;27;0;11;40.875;11.259;7.25548821538972E-10;0.882954837627074
CSPP1;FAM13C;323;5;10;5;7;0;71;0;1;41.009;1.956;7.25548821538972E-10;0.897774910293561
TRIM6;SEC16A;173;10;168;1;8;5;18;0;39;41.354;29.646;7.25548821538972E-10;0.905489780686037
ADAM17;CSPP1;307;4;57;5;7;0;26;1;15;41.159;7.289;7.25548821538972E-10;0.913901974196104
EPHA6;FLT1;351;11;17;12;11;2;18;0;0;40.938;0.793;7.25548821538972E-10;0.928582792835724
ZNF431;ALOX5;276;6;12;5;8;1;103;1;10;41.348;6.2;7.25548821538972E-10;0.92913844827008
CSPP1;PABPC3;309;10;19;3;7;2;65;0;7;40.59;4.68;7.25548821538972E-10;0.964952412789022
AFP;RAG2;325;1;23;5;6;0;55;2;5;41.237;4.118;7.25548821538972E-10;0.980021690561917
ZFP30;MAP3K21;242;7;148;2;7;1;8;0;7;40.303;5.741;7.25548821538972E-10;0.982997127021607
RNF165;VIRMA;357;12;28;3;8;0;11;0;3;40.99;1.088;7.25548821538972E-10;0.991131600176047
ALOX12B;KCNH1;335;25;24;0;5;5;25;1;2;40.269;1.819;7.25548821538972E-10;1
ARAP1;SRCAP;294;27;38;8;15;2;34;3;1;40.923;3.719;7.25548821538972E-10;1
ARHGAP24;LRRC52;292;1;72;1;5;3;37;1;10;40.932;9.377;7.25548821538972E-10;1
CSPP1;BTAF1;323;7;8;4;8;0;65;4;3;40.869;1.875;7.25548821538972E-10;1
DAAM1;C1orf168;340;4;49;4;7;1;11;0;6;41.144;2.303;7.25548821538972E-10;1
DLGAP3;ST18;344;9;19;12;10;0;24;0;4;41.298;1.647;7.25548821538972E-10;1
DOCK3;KCNJ3;368;6;7;21;11;0;9;0;0;40.358;0.164;7.25548821538972E-10;1
DRP2;ZNF282;306;5;10;1;6;0;92;1;1;40.793;2.501;7.25548821538972E-10;1
ESR2;WDR88;280;3;116;4;6;0;8;0;5;41.077;3.846;7.25548821538972E-10;1
FER;FGFR1;340;3;6;8;7;1;51;5;1;41.231;0.915;7.25548821538972E-10;1
KIF26B;EXT1;241;1;2;22;10;0;137;8;1;40.531;1.087;7.25548821538972E-10;1
MFSD4B;HGF;315;4;44;1;5;0;41;5;7;40.616;6.015;7.25548821538972E-10;1
MSH2;STRBP;367;3;10;7;6;3;26;0;0;40.484;0.645;7.25548821538972E-10;1
MTHFD1L;BUB1;369;8;6;7;8;0;20;4;0;41.136;0.304;7.25548821538972E-10;1
MTHFD1L;VIRMA;344;10;29;6;9;0;21;1;2;40.828;1.801;7.25548821538972E-10;1
NCOA6;RFC1;334;7;14;13;10;1;35;0;8;41.131;2.419;7.25548821538972E-10;1
NDST3;KANSL1L;340;2;55;9;7;1;6;1;1;40.531;0.975;7.25548821538972E-10;1
PAM;ANKRD52;297;13;27;5;9;0;64;1;6;40.544;5.863;7.25548821538972E-10;1
PAPPA2;ITPR2;258;5;61;24;13;4;41;3;13;41.145;10.713;7.25548821538972E-10;1
RBBP8;NECAB1;370;3;14;4;6;2;23;0;0;41.191;0.791;7.25548821538972E-10;1
RFC1;TENM2;297;30;55;3;11;3;20;0;3;40.555;3.557;7.25548821538972E-10;1
RFC1;TREM1;284;0;98;8;6;3;17;0;6;40.893;5.906;7.25548821538972E-10;1
RIPOR1;IKZF2;323;1;13;16;8;0;59;2;0;41.202;1.942;7.25548821538972E-10;1
SCAF4;CFAP45;259;5;72;10;9;6;52;0;9;40.497;12.605;7.25548821538972E-10;1
SEC16A;USP7;187;4;1;8;10;0;204;8;0;41.103;0.52;7.25548821538972E-10;1
SH3PXD2B;STRBP;354;0;11;11;5;1;35;4;1;41.232;1.077;7.25548821538972E-10;1
TOGARAM1;EML5;195;9;118;1;8;12;36;4;39;40.482;30.348;7.25548821538972E-10;1
TRIP12;KCNMA1;368;10;4;17;12;0;10;1;0;40.28;0.105;7.25548821538972E-10;1
TRRAP;CACNA1D;325;12;16;37;17;0;13;2;0;41.001;0.588;7.25548821538972E-10;1
UBE4B;FER;289;5;46;8;9;2;52;2;9;40.232;8.472;7.25548821538972E-10;1
VPS13A;KAT6A;239;6;68;12;11;4;64;2;16;40.406;17.364;7.25548821538972E-10;1
ZRANB3;SCAF4;203;6;43;3;8;0;130;11;18;41.218;22.914;7.25548821538972E-10;1
ZSWIM5;CACNA1D;345;17;16;7;11;0;23;3;0;40.804;0.958;7.25548821538972E-10;1
